pdf, Part No.,Series Name,Size ( Dimension),Tolerance,T.C.R,Rated Power,Resistance Value
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD3K9,MMF204BRD3K9,MMF,0.4W,±0.1%,±25ppm/°C,3 900,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD40K,MMF204BRD40K,MMF,0.4W,±0.1%,±25ppm/°C,40 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD4K,MMF204BRD4K,MMF,0.4W,±0.1%,±25ppm/°C,4 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD4K3,MMF204BRD4K3,MMF,0.4W,±0.1%,±25ppm/°C,4 300,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD4K7,MMF204BRD4K7,MMF,0.4W,±0.1%,±25ppm/°C,4 700,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD4K9,MMF204BRD4K9,MMF,0.4W,±0.1%,±25ppm/°C,4 900,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD510R,MMF204BRD510R,MMF,0.4W,±0.1%,±25ppm/°C,510,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD51K,MMF204BRD51K,MMF,0.4W,±0.1%,±25ppm/°C,51 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD56K,MMF204BRD56K,MMF,0.4W,±0.1%,±25ppm/°C,56 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD5K6,MMF204BRD5K6,MMF,0.4W,±0.1%,±25ppm/°C,5 600,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRD75K,MMF204BRD75K,MMF,0.4W,±0.1%,±25ppm/°C,75 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRE100K,MMF204BRE100K,MMF,0.4W,±0.1%,±50ppm/°C,100 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRE1K,MMF204BRE1K,MMF,0.4W,±0.1%,±50ppm/°C,1 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204BRE3K9,MMF204BRE3K9,MMF,0.4W,±0.1%,±50ppm/°C,3 900,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRD200K,MMF204DRD200K,MMF,0.4W,±0.5%,±25ppm/°C,200 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRE120R,MMF204DRE120R,MMF,0.4W,±0.5%,±50ppm/°C,120,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRE1K,MMF204DRE1K,MMF,0.4W,±0.5%,±50ppm/°C,1 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRE1R6,MMF204DRE1R6,MMF,0.4W,±0.5%,±50ppm/°C,1.6,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRE216K,MMF204DRE216K,MMF,0.4W,±0.5%,±50ppm/°C,216 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRE265R,MMF204DRE265R,MMF,0.4W,±0.5%,±50ppm/°C,265,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRE2K,MMF204DRE2K,MMF,0.4W,±0.5%,±50ppm/°C,2 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRE3K6,MMF204DRE3K6,MMF,0.4W,±0.5%,±50ppm/°C,3 600,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRE470R,MMF204DRE470R,MMF,0.4W,±0.5%,±50ppm/°C,470,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204DRE5M1,MMF204DRE5M1,MMF,0.4W,±0.5%,±50ppm/°C,5 100 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRD10R,MMF204FRD10R,MMF,0.4W,±1%,±25ppm/°C,10,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE-240R,MMF204FRE-240R,MMF,0.4W,±1%,±50ppm/°C,-240,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE0R,MMF204FRE0R,MMF,0.4W,±1%,±50ppm/°C,0,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE0R82,MMF204FRE0R82,MMF,0.4W,±1%,±50ppm/°C,0.82,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE100K,MMF204FRE100K,MMF,0.4W,±1%,±50ppm/°C,100 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE10K,MMF204FRE10K,MMF,0.4W,±1%,±50ppm/°C,10 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE10R,MMF204FRE10R,MMF,0.4W,±1%,±50ppm/°C,10,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=MMF204FRE110R,MMF204FRE110R,MMF,0.4W,±1%,±50ppm/°C,110,
