pdf, Part No.,Series Name,Rated Power,Tolerance,T.C.R,Resistance Value
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-3K6,CFR-12JB-52-3K6,CFR,1/6W,±5%,Base on Specs,3 600,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-3K9,CFR-12JB-52-3K9,CFR,1/6W,±5%,Base on Specs,3 900,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-3M,CFR-12JB-52-3M,CFR,1/6W,±5%,Base on Specs,3 000 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-3M3,CFR-12JB-52-3M3,CFR,1/6W,±5%,Base on Specs,3 300 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-3M6,CFR-12JB-52-3M6,CFR,1/6W,±5%,Base on Specs,3 600 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-3M9,CFR-12JB-52-3M9,CFR,1/6W,±5%,Base on Specs,3 900 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-3R,CFR-12JB-52-3R,CFR,1/6W,±5%,Base on Specs,3,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-3R3,CFR-12JB-52-3R3,CFR,1/6W,±5%,Base on Specs,3.3,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-3R9,CFR-12JB-52-3R9,CFR,1/6W,±5%,Base on Specs,3.9,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-430K,CFR-12JB-52-430K,CFR,1/6W,±5%,Base on Specs,430 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-430R,CFR-12JB-52-430R,CFR,1/6W,±5%,Base on Specs,430,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-43K,CFR-12JB-52-43K,CFR,1/6W,±5%,Base on Specs,43 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-43R,CFR-12JB-52-43R,CFR,1/6W,±5%,Base on Specs,43,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-470K,CFR-12JB-52-470K,CFR,1/6W,±5%,Base on Specs,470 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-470R,CFR-12JB-52-470R,CFR,1/6W,±5%,Base on Specs,470,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-47K,CFR-12JB-52-47K,CFR,1/6W,±5%,Base on Specs,47 000,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-47R,CFR-12JB-52-47R,CFR,1/6W,±5%,Base on Specs,47,
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=CFR-12JB-52-4K3,CFR-12JB-52-4K3,CFR,1/6W,±5%,Base on Specs,4 300,
